Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",74,330,9,38,29,27,0.103030303,0.172727272,0.163822525,0.331877729,0.290102389,0.363636363,0.453924914,0.35697563361684115,0.38725816240962246,123.57438458475359,4.581088729202747,13.784761512059879,15.432102918624878,4.174250699341797,"Bobby Witt Jr.",25764,677951
"Pete Crow-Armstrong","CHC",74,314,14,44,36,16,0.076433121,0.251592356,0.222222222,0.335106382,0.275985663,0.348242811,0.498207885,0.36679547413801533,0.36145726228371644,135.96732352313924,1.8998613189905882,15.2095130206379,13.627925276756287,3.969519242487136,"Pete Crow-Armstrong",27769,691718
"Yordan Alvarez","HOU",74,323,24,49,54,1,0.14241486,0.167182662,0.318518519,0.329896907,0.325925925,0.430340557,0.644444444,0.4504969159888614,0.4872682822862239,190.6811800671383,-2.4719785042107105,32.179881506521646,-8.252545297145844,3.6097599067965076,"Yordan Alvarez",19556,670541
"James Wood","WSN",74,345,20,68,48,13,0.171014492,0.289855072,0.274021352,0.36419753,0.28113879,0.411594202,0.555160142,0.4131691819111976,0.433123670628941,165.8104106366639,1.8893242795020342,28.64664454910027,-5.785654783248901,3.4621231022835093,"James Wood",29518,695578
"Nick Kurtz","ATH",72,330,18,52,57,7,0.206060606,0.281818181,0.265384615,0.389261744,0.292307692,0.442424242,0.557692307,0.4277167468798866,0.39966866970062254,171.82628545310982,-0.5939893489703536,27.44770251967121,-6.161753058433533,3.365927676876784,"Nick Kurtz",35110,701762
"Corbin Carroll","ARI",70,300,12,44,34,9,0.113333333,0.213333333,0.257692308,0.322580645,0.276923076,0.366666666,0.534615384,0.38688265719142645,0.36716228420451535,146.87503353242965,4.244226390495896,20.816869093672473,0.3252725601196289,3.1392695024161776,"Corbin Carroll",25878,682998
"Dillon Dingler","DET",66,275,16,36,51,0,0.08,0.21090909,0.271604939,0.269005847,0.255144032,0.329670329,0.526748971,0.368230510980655,0.39334759589050966,133.97389820398652,-0.268316937610507,10.784804481227225,10.091546773910522,3.124772459225629,"Dillon Dingler",27464,693307
"Kevin McGonigle","DET",70,309,5,46,25,9,0.145631067,0.132686084,0.13740458,0.319444444,0.282442748,0.39158576,0.419847328,0.36474814577010073,0.3658397476394455,131.60827647872313,4.120090948417783,15.674990133829795,3.0794171690940857,3.0317736818503205,"Kevin McGonigle",33572,805808
"Otto Lopez","MIA",73,310,5,44,31,13,0.038709677,0.148387096,0.137931034,0.382716049,0.337931034,0.367741935,0.475862068,0.36769194872148575,0.3380354831093236,133.4294238493226,2.9500859742984176,15.163005816572408,3.3465332984924316,2.9037683116095447,"Otto Lopez",19608,672640
"Byron Buxton","MIN",63,283,23,51,36,7,0.074204946,0.261484098,0.325581395,0.296296296,0.275193798,0.335689045,0.600775193,0.3973419380948899,0.34966827284359764,153.24475362847522,1.1615849742665887,18.988250789766095,-0.6862523555755615,2.891397976094971,"Byron Buxton",14161,621439
"JJ Wetherholt","STL",67,304,10,45,31,8,0.108552631,0.164473684,0.142857143,0.283582089,0.258687258,0.361842105,0.401544401,0.3417472014364028,0.355462646484375,119.24332931624646,2.3128260923549533,9.207007659247619,9.13243317604065,2.8667427792852638,"JJ Wetherholt",34985,802139
"Shohei Ohtani","LAD",71,317,15,51,42,6,0.16088328,0.230283911,0.25,0.356725146,0.296875,0.419047619,0.546875,0.4111940827742462,0.4221634210324755,164.9550713360372,0.8250464163720608,25.09121706921079,-7.237654209136963,2.8598813975085884,"Shohei Ohtani",19755,660271
"Max Muncy","LAD",68,258,16,47,28,0,0.127906976,0.236434108,0.256756757,0.296551724,0.265765765,0.368217054,0.522522522,0.3866691392219484,0.389095707162345,148.23042489505247,-0.25362620782107115,14.410956695216141,5.028170466423035,2.827874186532218,"Max Muncy",13301,571970
"Ben Rice","NYY",66,285,20,53,49,2,0.133333333,0.231578947,0.325102881,0.320754716,0.292181069,0.389473684,0.61728395,0.4247933875584433,0.3791391676750736,173.77088637268187,-0.5046215588226914,24.3688685558703,-7.2525315284729,2.7778059696761854,"Ben Rice",29576,700250
"Brice Turang","MIL",66,300,11,54,43,12,0.16,0.243333333,0.205645161,0.331325301,0.266129032,0.382550335,0.471774193,0.37289425316503494,0.36443097111308126,139.08341388656063,1.308115217834711,15.12603501759825,2.1935508251190186,2.749672604876293,"Brice Turang",22186,668930
"Luis Arraez","SFG",70,308,2,36,26,5,0.048701298,0.042207792,0.118705036,0.325925925,0.323741007,0.356435643,0.442446043,0.344131051103274,0.29982112398083577,121.11560080878402,1.9462060052901506,9.610692807689496,7.116515219211578,2.7155491814989623,"Luis Arraez",18568,650333
"Elly De La Cruz","CIN",58,257,12,40,37,10,0.085603112,0.295719844,0.228448276,0.365517241,0.280172413,0.346303501,0.508620689,0.3705998543171567,0.36151770939902655,131.85536333128078,0.7670786362141371,10.415241088984486,6.881289005279541,2.6062180628247,"Elly De La Cruz",26668,682829
"Willson Contreras","BOS",68,283,16,34,43,1,0.091872791,0.25795053,0.261410789,0.361290322,0.298755186,0.392226148,0.560165975,0.4098329749090452,0.3844635009765625,158.3069163805748,-0.7634148290380836,18.75809371810452,-3.4906792640686035,2.582111581749288,"Willson Contreras",11609,575929
"Colson Montgomery","CHW",68,284,17,33,40,1,0.091549295,0.306338028,0.257028112,0.262068965,0.220883534,0.316901408,0.477911646,0.34356288150536207,0.3224423272269113,117.21041119148386,-1.6862847721204162,4.096226026217072,10.964530944824219,2.5646745561500297,"Colson Montgomery",29712,695657
"Matt Olson","ATL",72,313,20,51,51,2,0.095846645,0.233226837,0.283154122,0.291005291,0.268817204,0.338658146,0.551971326,0.37878733145079047,0.37016130959717586,141.87039306067265,-0.27570885326713324,15.16902029684904,-0.34299612045288086,2.5381870459900506,"Matt Olson",14344,621566
"Miguel Vargas","CHW",70,306,16,51,44,10,0.147058823,0.163398692,0.241106719,0.243386243,0.245059288,0.367213114,0.486166007,0.372983930730506,0.39738978017674814,137.19656112662136,0.7088108388707042,14.174577446177675,-0.7242147028446198,2.4803058312541633,"Miguel Vargas",20178,678246
"Jordan Walker","STL",70,301,18,46,56,10,0.069767441,0.255813953,0.252707581,0.344262295,0.292418772,0.34551495,0.545126353,0.383853683043952,0.3733732914211742,147.9576061201214,0.9271797593683004,17.939083366445573,-3.321353930979967,2.477579484027923,"Jordan Walker",27475,691023
"Cody Bellinger","NYY",70,303,10,43,47,8,0.135313531,0.122112211,0.19455253,0.279069767,0.27237354,0.366336633,0.46692607,0.36408858999560767,0.3705594861829603,132.5332276954337,-0.0734633319079876,11.588633605804658,1.6264984607696533,2.4454541559502116,"Cody Bellinger",15998,641355
"Shea Langeliers","ATH",66,304,18,46,36,1,0.075657894,0.190789473,0.25,0.293532338,0.278985507,0.342105263,0.528985507,0.37543384037395516,0.3741017777398722,136.30974080250996,-0.2562293205410242,12.802580528185306,0.23567254841327667,2.4310521700121037,"Shea Langeliers",25816,669127
"Mike Trout","LAA",73,331,17,54,36,7,0.196374622,0.250755287,0.240458015,0.271604938,0.232824427,0.392749244,0.473282442,0.37679114171964095,0.4131468775859132,138.86592011735559,0.05109779257327318,15.27071793499725,-3.370188385248184,2.4129863598721886,"Mike Trout",10155,545361
"Brandon Lowe","PIT",68,299,18,44,47,0,0.103678929,0.260869565,0.272727273,0.264705882,0.238636363,0.321070234,0.511363636,0.35842762703082237,0.34797084731543626,126.56642280251407,-0.14618978183716536,9.21504612200452,4.0523552894592285,2.333390333293333,"Brandon Lowe",18882,664040
"Randy Arozarena","SEA",71,302,7,47,33,19,0.092715231,0.218543046,0.157088123,0.361256544,0.291187739,0.377483443,0.448275862,0.3657869937404102,0.35281232662771234,139.0666910071921,2.3667582347989082,16.324669603932456,-4.226585626602173,2.327978413838846,"Randy Arozarena",19290,668227
"José Ramírez","CLE",72,314,10,42,33,24,0.130573248,0.140127388,0.179104477,0.248847926,0.23880597,0.338658146,0.417910447,0.3297027781025156,0.3547837198363065,109.23052290026982,4.285354235209525,7.714317385441215,3.946884512901306,2.326958527038629,"Jose Ramirez",13510,608070
"CJ Abrams","WSN",72,308,14,46,53,11,0.094155844,0.204545454,0.220973783,0.321243523,0.284644194,0.37012987,0.505617977,0.3792062454363879,0.3501187934250128,142.64957834249142,0.5174662796780467,15.998301198566015,-3.413698434829712,2.293332675572375,"CJ Abrams",25768,682928
"Drake Baldwin","ATL",49,217,14,40,39,1,0.110599078,0.202764976,0.253968254,0.333333333,0.306878306,0.391705069,0.56084656,0.4107416170062842,0.4179150603538336,163.66143722965413,-0.7167635560035706,15.563637308931906,-0.18321193754673004,2.2796674873636604,"Drake Baldwin",31539,686948
"Andy Pages","LAD",73,309,15,42,56,7,0.061488673,0.197411003,0.219081272,0.287735849,0.268551236,0.313915857,0.487632508,0.3446853897718164,0.3402173928072537,119.59984459124755,0.16860969550907612,7.306009562338533,5.010862469673157,2.2693269230392006,"Andy Pages",24816,681624
"Ceddanne Rafaela","BOS",67,263,7,29,32,7,0.053231939,0.205323193,0.164609054,0.346153846,0.288065843,0.342205323,0.452674897,0.3496278347624572,0.2989093780517578,117.4086823091899,-0.3021568190306425,5.114464992271297,7.506487488746643,2.2398705124964025,"Ceddanne Rafaela",24262,678882
"Michael Harris II","ATL",68,259,14,35,41,3,0.046332046,0.2007722,0.208163266,0.338888888,0.306122448,0.339768339,0.514285714,0.37011749150670176,0.38340981925044076,135.9580447832706,-1.39450569357723,9.58100542964459,3.985346555709839,2.23259935799312,"Michael Harris II",25931,671739
"Xavier Edwards","MIA",74,313,6,43,25,11,0.124600638,0.127795527,0.137037037,0.321585903,0.292592592,0.378205128,0.429629629,0.35529198808577456,0.33889612398649516,124.9733408792573,1.318157298490405,10.53007191545475,0.8446047678589821,2.1864238953406208,"Xavier Edwards",22266,669364
"Kyle Schwarber","PHI",70,315,25,44,43,1,0.146031746,0.339682539,0.324528302,0.308270676,0.249056603,0.368253968,0.573584905,0.4015187621116638,0.37929266652753274,156.226589115388,-1.3299379665404558,19.542886150846602,-8.488863348960876,2.1603056919445964,"Kyle Schwarber",16478,656941
"Bryan Reynolds","PIT",74,320,10,49,45,5,0.153125,0.209375,0.189393939,0.338624338,0.28030303,0.4,0.469696969,0.3830117626385119,0.37245720437487717,143.33143493063812,0.19812961108982563,16.539255304782778,-5.920839071273804,2.132315963391207,"Bryan Reynolds",19326,668804
"Aaron Judge","NYY",59,261,17,43,38,5,0.16091954,0.275862068,0.285046729,0.285714285,0.247663551,0.374517374,0.53271028,0.38709718035900686,0.4138469159842495,148.16330034444226,-0.3108330210670829,14.560969571568648,-2.9871152248233557,2.12589849286969,"Aaron Judge",15640,592450
"Freddie Freeman","LAD",71,310,11,39,38,2,0.116129032,0.164516129,0.194029851,0.306220095,0.279850746,0.367741935,0.473880597,0.36778469822553367,0.378497990975488,135.35228724604318,-0.08257713355123997,12.832830931003837,-2.318209648132324,2.0889220837311884,"Freddie Freeman",5361,518692
"Adley Rutschman","BAL",52,220,8,26,40,0,0.104545454,0.14090909,0.212435233,0.27388535,0.264248704,0.34090909,0.476683937,0.3548818043687127,0.3638829618828482,126.5936958550511,-0.29645938891917467,6.625168444227862,5.953685522079468,2.079678420894341,"Adley Rutschman",26288,668939
"Juan Soto","NYM",56,240,15,32,34,6,0.141666666,0.1375,0.259803921,0.280254777,0.289215686,0.389121338,0.549019607,0.39827279778509184,0.4178167235799682,158.94958144662766,0.020937354303896427,16.694211414208418,-4.207729145884514,2.060189885722361,"Juan Soto",20123,665742
"Munetaka Murakami","CHW",57,246,20,43,41,1,0.178861788,0.325203252,0.32,0.277227722,0.24,0.37804878,0.56,0.3986843703699506,0.37956424570677194,154.6552464407369,-1.3726133843883872,14.533857313027923,-3.9052643179893494,1.9751727536255346,"Munetaka Murakami",37120,808959
"Yandy Díaz","TBR",67,295,12,34,46,1,0.091525423,0.128813559,0.189189189,0.327014218,0.312741312,0.389830508,0.501930501,0.38750706858014405,0.36312277506792007,146.44003245621525,-0.15193091332912445,16.055769345117433,-7.237654209136963,1.9683029695968992,"Yandy Diaz",16578,650490
"Riley Greene","DET",73,306,8,36,33,1,0.124183006,0.281045751,0.151515151,0.412790697,0.299242424,0.388888888,0.450757575,0.3725886095583049,0.3584541869319342,136.93441844031383,-0.3975618341937661,12.973304811269603,-4.640409708023071,1.9587308394483913,"Riley Greene",25976,682985
